"WEBADDR","UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","addr_recoded","latitude","longitude"
"nnu.edu",142461,"Northwest Nazarene University","623 S. University Blvd.","Nampa","ID","83686-5897",16,"623 S. University Blvd., Nampa, ID",NA,NA
"northwestu.edu",236133,"Northwest University","5520 108th Ave NE","Kirkland","WA","98083-0579",53,"5520 108th Ave NE, Kirkland, WA",47.65775615,-122.191709929865
"northwestu.edu",487603,"Northwest University-Center for Online and Extended Education","5520 108th Ave NE","Kirkland","WA","98033",53,"5520 108th Ave NE, Kirkland, WA",47.65775615,-122.191709929865
"nwciowa.edu",154101,"Northwestern College","101 Seventh St SW","Orange City","IA","51041",19,"101 Seventh St SW, Orange City, IA",NA,NA
"nwosu.edu",207306,"Northwestern Oklahoma State University","709 Oklahoma Blvd","Alva","OK","73717-2799",40,"709 Oklahoma Blvd, Alva, OK",36.7930901,-98.6729427047766
"nsula.edu",160038,"Northwestern State University of Louisiana","175 Sam Sibley Drive","Natchitoches","LA","71497-0002",22,"175 Sam Sibley Drive, Natchitoches, LA",31.74734005,-93.0989873306624
"northwestern.edu",147767,"Northwestern University","633 Clark St","Evanston","IL","60208",17,"633 Clark St, Evanston, IL",42.0557157,-87.6752945473942
"qatar.northwestern.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"northwood.edu",171492,"Northwood University","4000 Whiting Dr","Midland","MI","48640-2398",26,"4000 Whiting Dr, Midland, MI",43.6311535,-84.2768175547726
"norwich.edu",230995,"Norwich University","158 Harmon Drive","Northfield","VT","05663-1035",50,"158 Harmon Drive, Northfield, VT",44.13917905,-72.6612695464237
"ndnu.edu",120184,"Notre Dame de Namur University","1500 Ralston Ave","Belmont","CA","94002-1908",6,"1500 Ralston Ave, Belmont, CA",37.515251,-122.283712
"ndm.edu",163578,"Notre Dame of Maryland University","4701 N Charles St","Baltimore","MD","21210-2476",24,"4701 N Charles St, Baltimore, MD",39.3514279,-76.6194007019243
"nscad.ca",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"nova.edu",136215,"Nova Southeastern University","3301 College Ave","Fort Lauderdale","FL","33314-7796",12,"3301 College Ave, Fort Lauderdale, FL",NA,NA
"nyack.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"oakhills.edu",174525,"Oak Hills Christian College","1600 Oak Hills Rd SW","Bemidji","MN","56601-8834",27,"1600 Oak Hills Rd SW, Bemidji, MN",NA,NA
"oak.edu",152099,"Oakland City University","138 N Lucretia St","Oakland City","IN","47660-1099",18,"138 N Lucretia St, Oakland City, IN",38.3401894285714,-87.3522523979592
"oakland.edu",171571,"Oakland University","2200 North Squirrel Road","Rochester Hills","MI","48309-4401",26,"2200 North Squirrel Road, Rochester Hills, MI",NA,NA
"oakwood.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"oberlin.edu",204501,"Oberlin College","70 N Professor St","Oberlin","OH","44074",39,"70 N Professor St, Oberlin, OH",41.293427,-82.2200867916667
"oxy.edu",120254,"Occidental College","1600 Campus Rd","Los Angeles","CA","90041-3392",6,"1600 Campus Rd, Los Angeles, CA",34.12719495,-118.209920299892
"oglethorpe.edu",140696,"Oglethorpe University","4484 Peachtree Road, NE","Atlanta","GA","30319-2797",13,"4484 Peachtree Road, NE, Atlanta, GA",NA,NA
"ohiodominican.edu",204617,"Ohio Dominican University","1216 Sunbury Road","Columbus","OH","43219",39,"1216 Sunbury Road, Columbus, OH",39.9934913,-82.9429577
"onu.edu",204635,"Ohio Northern University","525 S. Main St","Ada","OH","45810-1599",39,"525 S. Main St, Ada, OH",40.7661396,-83.8320764
"ohio.edu",204802,"Ohio University-Eastern Campus","45425 National Rd W","Saint Clairsville","OH","43950",39,"45425 National Rd W, Saint Clairsville, OH",40.077588,-80.920732
"ohio.edu",204820,"Ohio University-Chillicothe Campus","101 University Drive","Chillicothe","OH","45601-0629",39,"101 University Drive, Chillicothe, OH",39.334127,-83.006612
